segment,task_id,soc,occupation_title,skill_onet_wa,dwa_titles,E_onet_task,classification,confidence,matched_categories,matched_indicators,task_text,justification
middle60,12955,19-4061.00,Social Science Research Assistants,['Getting Information'],Conduct research on social issues.,0.5559707469086577,Not Intrapreneurial,High,,,"Perform descriptive and multivariate statistical analyses of data, using computer software.","This task describes routine execution of statistical analyses using software without signals of idea generation, opportunity discovery, advocacy, implementation of new business activities, managerial actions, or eco-innovation. It aligns with routine analytical work typical for a Social Science Research Assistant rather than criteria I–VI for intrapreneurship."
middle60,12956,19-4061.00,Social Science Research Assistants,[],Check data for recording errors. | Verify accuracy of data.,0.5559707469086577,Not Intrapreneurial,High,,,"Verify the accuracy and validity of data entered in databases, correcting any errors.","The task describes routine data verification and correction (maintenance/quality control) without signals of opportunity discovery, idea generation, planning/advocacy, implementation of new business activities, risk-taking, managerial entrepreneurial actions, or eco-innovation. This aligns with non-intrapreneurial administrative work."
middle60,12960,19-4061.00,Social Science Research Assistants,['Getting Information'],Collect archival data.,0.5559707469086577,Not Intrapreneurial,High,,,Conduct internet-based and library research.,"The task describes routine information gathering (internet and library research) without signals of opportunity discovery, idea generation, planning/advocacy, implementation, risk-taking, managerial actions, or eco-innovation. It aligns with routine execution/maintenance rather than intrapreneurial behaviors."
middle60,12968,19-4061.00,Social Science Research Assistants,[],Recruit personnel. | Schedule appointments.,0.5559707469086577,Not Intrapreneurial,High,,,Recruit and schedule research participants.,"The task describes routine operational activities (participant recruitment and scheduling) focused on executing study logistics rather than generating opportunities, planning new ventures, advocating change, implementing innovations, or taking managerial/ecological initiative. This aligns with administrative/service work rather than criteria I–VI."
middle60,19050,23-1012.00,Judicial Law Clerks,['Documenting/Recording Information'],Prepare documentation of legal proceedings. | Prepare legal documents.,0.4189607102712266,Not Intrapreneurial,High,,,"Prepare briefs, legal memoranda, or statements of issues involved in cases, including appropriate suggestions or recommendations.","Task is routine legal documentation and advisory work (preparing briefs/memoranda and recommendations) focused on case analysis and record creation rather than discovering or implementing new business opportunities, championing or launching initiatives, taking innovation/risk to reconfigure operations, or engaging in eco-innovation. Works aligns with document preparation/administrative analytic duties rather than criteria I–VI."
middle60,19051,23-1012.00,Judicial Law Clerks,['Getting Information'],Research relevant legal materials to aid decision making.,0.4189607102712266,Not Intrapreneurial,High,,,"Research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.","This is routine information-gathering to support case decision-making (service/administrative task). It lacks signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, risk-taking, managerial role-specific entrepreneurial actions, or eco-innovation."
middle60,19047,23-1012.00,Judicial Law Clerks,['Documenting/Recording Information'],Prepare documentation of legal proceedings. | Prepare legal documents.,0.4189607102712266,Not Intrapreneurial,High,,"Routine preparation and proofreading of legal documents | Documenting/recording information (administrative task) | No indication of idea generation, advocacy, implementation, or innovation","Draft or proofread judicial opinions, decisions, or citations.","Task describes routine drafting/proofreading and documentation of legal materials without signals of opportunity discovery, planning/advocacy, implementation of new business activities, innovation, risk-taking, managerial entrepreneurial actions, or eco-innovation. It aligns with administrative/documentation work rather than criteria I–VI."
middle60,19052,23-1012.00,Judicial Law Clerks,"['Getting Information', 'Analyzing Data or Information']",Identify implications for cases from legal precedents or other legal information. | Research relevant legal materials to aid decision making.,0.4189607102712266,Not Intrapreneurial,High,,,"Review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.","The task describes routine legal review and issue-identification consistent with information-gathering and analysis, not generation, advocacy, implementation, or managerial actions to create new business or eco-innovation. It aligns with administrative/legal research duties rather than criteria I–VI."
middle60,19053,23-1012.00,Judicial Law Clerks,[],Evaluate information related to legal matters in public or personal records. | Review documents or materials for compliance with policies or regulations.,0.4189607102712266,Not Intrapreneurial,High,,,Review dockets of pending litigation to ensure adequate progress.,"This task is routine monitoring and administrative oversight of case progress rather than generating opportunities, advocating new initiatives, implementing new business activities, or taking innovative/risk-taking actions. It aligns with maintenance/compliance activities typical of clerical/legal support rather than criteria I–VI."
middle60,19057,23-1012.00,Judicial Law Clerks,[],Enter codes or other information into computers. | Enter information into databases or software programs.,0.4189607102712266,Not Intrapreneurial,High,,,"Enter information into computerized court calendar, filing, or case management systems.","The task is routine data entry/administrative maintenance of court records with no signals of opportunity discovery, planning, advocacy, implementation of new business activities, innovation, risk-taking, or managerial actions described in criteria I–VI. Metadata (judicial law clerk role and database entry DWA) supports an administrative context."
middle60,19054,23-1012.00,Judicial Law Clerks,['Documenting/Recording Information'],Maintain the order of legal documents.,0.4189607102712266,Not Intrapreneurial,High,,,"Verify that all files, complaints, or other papers are available and in the proper order.","This is routine record-keeping and administrative verification (maintenance of documents) with no sign of opportunity discovery, planning/advocacy, implementation of new initiatives, innovation, managerial entrepreneurial actions, or eco-innovation (matches none of I–VI)."
middle60,19056,23-1012.00,Judicial Law Clerks,"['Guiding, Directing, and Motivating Subordinates']",Coordinate legal schedules or activities.,0.4189607102712266,Not Intrapreneurial,High,,,Coordinate judges' meeting and appointment schedules.,"This is administrative scheduling/coordination without signals of opportunity discovery, business planning, advocacy, implementation of new ventures, innovation, risk-taking, managerial entrepreneurial actions, or eco-innovation. It aligns with routine execution and service tasks rather than criteria I–VI."
middle60,5663,25-1011.00,"Business Teachers, Postsecondary","['Judging the Qualities of Objects, Services, or People']",Evaluate student work.,0.6290687810921244,Not Intrapreneurial,High,,"Routine execution and assessment (administrative grading) | No idea generation, opportunity scanning, or advocacy | No implementation of new initiatives, innovation, or managerial entrepreneurial actions","Evaluate and grade students' class work, assignments, and papers.","This task is routine assessment and administrative grading without signals of opportunity discovery, idea generation, planning/advocacy, implementation of new business activities, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation. It aligns with maintenance/service duties rather than any criteria I–VI."
middle60,5666,25-1011.00,"Business Teachers, Postsecondary","['Documenting/Recording Information', 'Providing Consultation and Advice to Others']",Advise students on academic or career matters.,0.6290687810921244,Not Intrapreneurial,High,,,"Maintain student attendance records, grades, and other required records.","This task is routine record-keeping and administrative maintenance without signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation."
middle60,5664,25-1011.00,"Business Teachers, Postsecondary","['Judging the Qualities of Objects, Services, or People']",Administer tests to assess educational needs or progress. | Evaluate student work. | Prepare tests.,0.6290687810921244,Not Intrapreneurial,High,,,"Compile, administer, and grade examinations, or assign this work to others.","This task describes routine assessment administration and grading (or delegating those duties), which is operational/administrative and does not indicate idea generation, business planning, implementation of new opportunities, innovation, or eco-innovation per criteria I–VI."
middle60,5669,25-1011.00,"Business Teachers, Postsecondary",['Providing Consultation and Advice to Others'],Advise students on academic or career matters.,0.6290687810921244,Not Intrapreneurial,High,,,Maintain regularly scheduled office hours to advise and assist students.,"This is a routine advising/maintenance activity (scheduling and providing student assistance) without signals of opportunity discovery, business planning, internal advocacy, implementation of new ventures, innovative risk-taking, managerial reconfiguration, or eco-innovation. It fits administrative/service work rather than intrapreneurial behaviors."
middle60,5673,25-1011.00,"Business Teachers, Postsecondary",['Updating and Using Relevant Knowledge'],Research topics in area of expertise.,0.6290687810921244,Not Intrapreneurial,Medium,,Collaboration for routine problem-solving and maintenance of teaching/research,Collaborate with colleagues to address teaching and research issues.,"The task describes routine collaboration to address teaching and research issues without explicit signals of opportunity discovery, business planning/advocacy, implementation of new ventures, risk-taking, managerial actions to create new businesses, or eco-innovation. It aligns with coordination/problem-solving and maintenance activities rather than the entrepreneurial behaviors in criteria I–VI."
middle60,5671,25-1011.00,"Business Teachers, Postsecondary",['Providing Consultation and Advice to Others'],Advise students on academic or career matters.,0.6290687810921244,Not Intrapreneurial,High,,,Advise students on academic and vocational curricula and career issues.,"This task is routine advisory/consultative student guidance without signals of opportunity discovery, planning/advocacy for new business activities, implementation of innovations, risk-taking, managerial actions to create new businesses, or eco-innovation. It aligns with service/teaching duties rather than criteria I–VI."
middle60,20058,25-1011.00,"Business Teachers, Postsecondary",['Documenting/Recording Information'],Create technology-based learning materials.,0.6290687810921244,Not Intrapreneurial,High,,,Develop and maintain course Web sites.,"The task describes routine creation and ongoing maintenance of course websites—administrative/teaching support work without explicit signals of opportunity discovery, business planning, advocacy, launching new products, risk-taking innovation, managerial entrepreneurial actions, or eco-innovation."
middle60,22409,25-4022.00,Librarians and Media Collections Specialists,['Making Decisions and Solving Problems'],Select educational materials or equipment.,0.5503365962894372,Not Intrapreneurial,High,,,"Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources.","This is a routine collection-development activity (evaluating and ordering resources) focused on maintenance and procurement rather than discovering new business opportunities, championing or implementing innovative initiatives, taking risks, or performing higher-level managerial entrepreneurship. It lacks clear signals of opportunity generation, advocacy for new ventures, experimental implementation, or eco-innovation."
middle60,22411,25-4022.00,Librarians and Media Collections Specialists,['Getting Information'],Search information sources to find specific data.,0.5503365962894372,Not Intrapreneurial,High,,"Routine execution of information search | Answering patrons' reference questions (service task) | No indication of idea generation, planning, implementation, innovation, or managerial action","Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.","This is routine reference service and information retrieval for patrons—a maintenance/administrative task without evidence of opportunity discovery, planning, advocacy, implementation, innovation, risk-taking, managerial actions, or eco-innovation (does not match criteria I–VI). Metadata (librarian information retrieval) supports routine service context."
middle60,22410,25-4022.00,Librarians and Media Collections Specialists,"['Documenting/Recording Information', 'Monitoring and Controlling Resources']","Maintain inventories of materials, equipment, or products. | Maintain operational records.",0.5503365962894372,Not Intrapreneurial,High,,,"Keep up-to-date records of circulation and materials, maintain inventory, and correct cataloging errors.","The task describes routine record-keeping, inventory maintenance, and error correction—administrative and maintenance activities without signals of opportunity discovery, planning/advocacy, implementation of new initiatives, risk-taking, managerial entrepreneurial actions, or eco-innovation."
middle60,22416,25-4022.00,Librarians and Media Collections Specialists,['Performing Administrative Activities'],Classify materials according to standard systems.,0.5503365962894372,Not Intrapreneurial,High,,,"Code, classify, and catalog books, publications, films, audio-visual aids, and other library materials, based on subject matter or standard library classification systems.","This task describes routine cataloging and classification using standard systems (administrative/maintenance work) without signals of idea generation, planning/advocacy, entrepreneurial implementation, innovation/risk-taking, managerial development of new business activities, or eco-innovation. It aligns with maintenance/administrative criteria rather than I–VI."
middle60,22417,25-4022.00,Librarians and Media Collections Specialists,['Assisting and Caring for Others'],Help patrons use library or archival resources.,0.5503365962894372,Not Intrapreneurial,High,,,"Respond to customer complaints, taking action as necessary.","This is routine customer service/problem-resolution without explicit signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, innovation/risk-taking, managerial restructuring, or eco-innovation. It aligns with administrative/service tasks in the librarian context."
middle60,22420,25-4022.00,Librarians and Media Collections Specialists,['Getting Information'],Search information sources to find specific data.,0.5503365962894372,Not Intrapreneurial,High,,,Locate unusual or unique information in response to specific requests.,"Task describes routine specialized information retrieval in response to requests—searching for specific data—without signals of generating new opportunities, planning/championing initiatives, implementing new business activities, taking risks, or performing managerial actions (criteria I–VI). Context (librarian/search role) supports this as skilled execution rather than intrapreneurial activity."
middle60,22425,25-4022.00,Librarians and Media Collections Specialists,['Thinking Creatively'],Develop library or archival databases.,0.5503365962894372,Not Intrapreneurial,Medium,,,"Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, Web pages, electronic pathfinders, software programs, and online tutorials.","The task focuses on developing, maintaining, and troubleshooting information resources—primarily routine technical/maintenance and service delivery. It lacks clear signals of opportunity discovery, advocacy, resource acquisition, launching new business activities, or managerial shepherding of novel initiatives required by criteria I–V. While 'develop' implies creation, the description emphasizes ongoing service/maintenance rather than identifying or championing new strategic opportunities or eco-innovation."
middle60,22427,25-4022.00,Librarians and Media Collections Specialists,['Processing Information'],Compile specialized bibliographies or lists of materials.,0.5503365962894372,Not Intrapreneurial,High,,,"Compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.","The task describes routine compilation and information-processing (creating bibliographies), without signals of opportunity discovery, idea generation, planning/advocacy, implementation of new business activities, risk-taking, managerial actions, or eco-innovation. It aligns with administrative/curatorial duties typical of library specialists rather than intrapreneurial behaviors."
middle60,22430,25-4022.00,Librarians and Media Collections Specialists,['Monitoring and Controlling Resources'],Order instructional or library materials or equipment.,0.5503365962894372,Not Intrapreneurial,High,,,Arrange for interlibrary loans of materials not available in a particular library.,"This is a routine service/administrative coordination task (requesting and arranging loans) for fulfilling patron needs rather than generating or implementing new business ideas, planning ventures, or taking innovation/risk. No indicators of opportunity discovery, advocacy, implementation of new products/services, managerial entrepreneurial actions, or eco-innovation are present."
middle60,3897,27-2012.05,Media Technical Directors/Managers,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']",Determine technical requirements of productions or projects. | Manage content of broadcasts or presentations.,0.6227428596048333,Not Intrapreneurial,High,,,Observe pictures through monitors and direct camera and video staff concerning shading and composition.,"The task describes routine supervisory and quality-control work (directing staff on shading/composition) without idea generation, opportunity discovery, advocacy, implementation of new business activities, innovation, or eco-focused changes. It is operational directing rather than intrapreneurial planning, risk-taking, or opportunity exploitation (no matches to criteria I–VI)."
middle60,3896,27-2012.05,Media Technical Directors/Managers,"['Monitoring Processes, Materials, or Surroundings']",Monitor broadcasting operations to ensure proper functioning.,0.6227428596048333,Not Intrapreneurial,High,,,Monitor broadcasts to ensure that programs conform to station or network policies and regulations.,"This task describes routine monitoring and compliance enforcement (ensuring conformity with policies/regulations), which is maintenance/administrative in nature and lacks signals of idea generation, opportunity discovery, planning/advocacy, implementation of new business initiatives, risk-taking, managerial entrepreneurship, or eco-innovation."
middle60,3906,27-2012.05,Media Technical Directors/Managers,"['Guiding, Directing, and Motivating Subordinates']",Coordinate activities of production personnel.,0.6227428596048333,Not Intrapreneurial,High,,"Coordinate production personnel / produce promotions (operational execution, routine task)",Collaborate with promotions directors to produce on-air station promotions.,"This is routine coordination and production of promotions (operational execution) without explicit signals of opportunity discovery, business planning, championing new initiatives, leading new product launches, or risk-taking. Metadata indicates a production/coordination role, which aligns with maintenance/operational activity rather than intrapreneurial criteria."
middle60,3900,27-2012.05,Media Technical Directors/Managers,"['Guiding, Directing, and Motivating Subordinates']",Coordinate logistics for productions or events.,0.6227428596048333,Not Intrapreneurial,High,,,Schedule use of studio and editing facilities for producers and engineering and maintenance staff.,"This is routine coordination and resource scheduling for production staff (administrative/logistical). It does not involve opportunity discovery, advocacy, implementation of new business activities, innovation, or managerial actions aimed at creating or championing new initiatives (none of criteria I–VI are triggered). The occupation context (media technical manager coordinating logistics) supports an administrative scheduling interpretation."
middle60,3894,27-2012.05,Media Technical Directors/Managers,"['Guiding, Directing, and Motivating Subordinates']",Direct productions or performances.,0.6227428596048333,Not Intrapreneurial,High,,,"Direct technical aspects of newscasts and other productions, checking and switching between video sources and taking responsibility for the on-air product, including camera shots and graphics.","This task describes routine operational direction and live production control (switching sources, managing camera shots/graphics) rather than opportunity discovery, business planning, advocacy, launching new products, innovative risk-taking, or eco-innovation. It is executional/administrative within an existing production role and lacks signals of entrepreneurial idea generation, resource acquisition, or new business implementation (criteria I–VI)."
middle60,3905,27-2012.05,Media Technical Directors/Managers,['Thinking Creatively'],Create computer-generated graphics or animation.,0.6227428596048333,Not Intrapreneurial,High,,,"Set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary.","This task describes routine technical execution of video transitions and effects (operational production work) with no signals of opportunity discovery, idea generation, planning/advocacy, leading new business activities, risk-taking for innovation, managerial actions, or eco-innovation. It aligns with maintenance/production execution rather than criteria I–VI."
middle60,1777,27-3041.00,Editors,['Making Decisions and Solving Problems'],Edit written materials.,0.5435469703547579,Not Intrapreneurial,High,,,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.","This is routine proofreading focused on error correction and maintenance of written materials; it does not involve idea generation, opportunity discovery, planning/advocacy, implementation of new business activities, risk-taking innovation, managerial entrepreneurial actions, or eco-innovation (no match to criteria I–VI)."
middle60,1780,27-3041.00,Editors,['Processing Information'],Verify accuracy of data.,0.5435469703547579,Not Intrapreneurial,High,,Routine verification and accuracy checking | Use of standard reference sources (maintenance task),"Verify facts, dates, and statistics, using standard reference sources.","This task describes routine fact-checking and accuracy verification using standard references—an operational, maintenance activity without signals of opportunity discovery, planning/advocacy, implementation of new initiatives, risk-taking, managerial entrepreneurial actions, or eco-innovation."
middle60,1786,27-3041.00,Editors,['Making Decisions and Solving Problems'],Edit written materials.,0.5435469703547579,Not Intrapreneurial,High,,Routine execution and maintenance of editorial content | Author consultation about revisions (service/quality task),"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.","This task describes routine editorial evaluation and revision and author consultation focused on content, style, and organization. It lacks signals of opportunity discovery, business planning, championing new initiatives, implementation of new ventures, risk-taking, managerial actions to create new business activities, or eco-innovation (criteria I–VI)."
middle60,1782,27-3041.00,Editors,['Thinking Creatively'],Determine presentation subjects or content.,0.5435469703547579,Intrapreneurial,High,I | IV,Generate creative ideas | Search for opportunities through idea generation and market/audience scanning | Show innovative and creative behaviors | Use out-of-the-box thinking,"Develop story or content ideas, considering reader or audience appeal.",Generating story/content ideas and tailoring them to audience appeal is creative opportunity discovery and idea generation (I) and demonstrates innovative behavior/creative risk-taking in content (IV). As an editor role this aligns with scanning audience needs and producing new concepts rather than routine maintenance.
middle60,1776,27-3041.00,Editors,['Making Decisions and Solving Problems'],Edit written materials.,0.5435469703547579,Not Intrapreneurial,High,,Routine execution/maintenance: edit copy to improve readability | Supervision as operational oversight rather than entrepreneurial resource deployment or new-business leadership,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.","This task describes routine content editing and supervising editing work—maintenance and quality-improvement activities without signals of opportunity discovery, new product/business planning, advocacy, implementation of new ventures, innovative risk-taking, or eco-innovation. Supervision here is operational rather than entrepreneurial."
middle60,1783,27-3041.00,Editors,"['Guiding, Directing, and Motivating Subordinates']",Coordinate activities of production personnel.,0.5435469703547579,Not Intrapreneurial,High,V.A,Directing and recognizing roles in production | Coordinating activities of production personnel | Ensuring deadlines and budget compliance (routine managerial control),"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.","The task describes routine managerial oversight and coordination of production processes to meet deadlines and budgets without signals of opportunity discovery, innovation, advocacy for new initiatives, or eco-innovation. It aligns with role-direction and coordination duties rather than entrepreneurial planning, execution of new business activities, or risk-taking (matches V.A)."
middle60,21000,27-3041.00,Editors,['Documenting/Recording Information'],Write informational material.,0.5435469703547579,Not Intrapreneurial,High,,,"Write text, such as stories, articles, editorials, or newsletters.","The task describes routine content creation without explicit signals of opportunity discovery, business planning/advocacy, implementation of new business activities, risk-taking, managerial actions, or eco-innovation. It aligns with regular editorial/writing duties rather than intrapreneurial behaviors."
middle60,1779,27-3041.00,Editors,['Thinking Creatively'],Design layouts for print publications.,0.5435469703547579,Not Intrapreneurial,High,,,"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.","This task describes routine editorial planning and compliance with existing style, policy, and requirements rather than generating new opportunities, advocating change, implementing novel initiatives, taking risks, or performing role-specific entrepreneurial management. It aligns with routine planning/organizational execution, not criteria I–VI for intrapreneurship."
middle60,1781,27-3041.00,Editors,['Making Decisions and Solving Problems'],Edit written materials.,0.5435469703547579,Not Intrapreneurial,High,,,Review and approve proofs submitted by composing room prior to publication production.,"This task is routine quality-control/approval of proofs prior to production and does not involve idea generation, advocacy, implementation of new business activities, risk-taking, or eco-innovation. It aligns with administrative/maintenance duties rather than criteria I–VI."
middle60,1785,27-3041.00,Editors,"['Guiding, Directing, and Motivating Subordinates']",Coordinate reporting or editing activities.,0.5435469703547579,Not Intrapreneurial,High,,,"Assign topics, events and stories to individual writers or reporters for coverage.","This is a routine coordination/assignment task (scheduling and delegating coverage) consistent with administrative/editing duties rather than opportunity discovery, planning/advocacy for new ventures, implementation of novel initiatives, risk-taking, or eco-innovation. It lacks indicators of idea generation, business planning, championing new projects, launching new products, or managerial actions aimed at creating new business activities."
middle60,1778,27-3041.00,Editors,['Thinking Creatively'],Design layouts for print publications.,0.5435469703547579,Not Intrapreneurial,High,,,"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.","This is a routine, execution-focused layout task applying established principles to allocate space; it lacks signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation."
middle60,3966,27-3042.00,Technical Writers,"['Processing Information', 'Making Decisions and Solving Problems']",Compile technical information or documentation. | Edit written materials.,0.5454472766599132,Not Intrapreneurial,High,,,"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.","The task describes routine execution of writing to predefined standards (editing/organizing content) without generating new opportunities, planning new initiatives, implementing innovations, taking managerial actions, or eco-innovation—matches the 'routine/administrative' exclusion."
middle60,3967,27-3042.00,Technical Writers,['Documenting/Recording Information'],"Maintain records, documents, or other files.",0.5454472766599132,Not Intrapreneurial,High,,,Maintain records and files of work and revisions.,"The task describes routine record-keeping and maintenance of documents without signals of opportunity discovery, planning, advocacy, implementation of new initiatives, innovation, or eco-innovation. This aligns with administrative/maintenance activities rather than criteria I–VI."
middle60,3968,27-3042.00,Technical Writers,['Making Decisions and Solving Problems'],Edit written materials.,0.5454472766599132,Not Intrapreneurial,High,,,"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.","The task describes routine editing and standardization of existing materials—maintenance/administrative work without signals of opportunity discovery, planning, advocacy, implementation of new business activities, innovation, or eco-innovation. This aligns with non-entrepreneurial, service/maintenance tasks rather than criteria I–VI."
middle60,3971,27-3042.00,Technical Writers,['Thinking Creatively'],Determine presentation subjects or content.,0.5454472766599132,Not Intrapreneurial,High,,,"Select photographs, drawings, sketches, diagrams, and charts to illustrate material.","Task describes routine selection of illustrative media for materials—a content-creation/production task without signals of opportunity discovery, planning/advocacy, implementation of new business activities, risk-taking, managerial actions, or eco-innovation (does not meet criteria I–VI). Metadata (technical writer role, creative thinking skill) suggests creative judgment but not entrepreneurial action."
middle60,20243,27-3042.00,Technical Writers,['Documenting/Recording Information'],Write informational material.,0.5454472766599132,Not Intrapreneurial,High,,,Develop or maintain online help documentation.,"This task describes routine creation and upkeep of informational material for users (documentation/maintenance). It lacks signals of opportunity discovery, new product/business planning, advocacy, implementation of new ventures, risk-taking, managerial restructuring, or eco-innovation (criteria I–VI). Context (technical writer role) aligns with routine documentation work."
middle60,3975,27-3042.00,Technical Writers,"['Guiding, Directing, and Motivating Subordinates']",Coordinate logistics for productions or events.,0.5454472766599132,Not Intrapreneurial,High,,,"Arrange for typing, duplication, and distribution of material.","This task describes routine administrative coordination of producing and disseminating materials (typing, duplication, distribution) without signals of idea generation, opportunity discovery, planning for new business, implementation of innovation, risk-taking, or managerial entrepreneurial actions."
middle60,3977,27-3042.00,Technical Writers,"['Monitoring Processes, Materials, or Surroundings']",Monitor current trends.,0.5454472766599132,Intrapreneurial,High,I | II,Scan the environment for opportunities and threats / monitor developments | Recognize and perceive opportunities worth pursuing (need for revisions/new material) | Convert ideas/needs into plans to develop new materials,Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,"The task clearly involves scanning the environment and recognizing opportunities/needs for change (I), and converting that recognition into decisions to revise or develop materials (II). As a technical writer monitoring trends, this is opportunity discovery and planning for new offerings."
middle60,3970,27-3042.00,Technical Writers,['Making Decisions and Solving Problems'],Edit written materials.,0.5454472766599132,Not Intrapreneurial,High,,,"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.","This task describes routine editorial review and recommendations on scope, format, content, and reproduction methods—standard maintenance and quality-control work for technical writers rather than clear opportunity discovery, business planning, implementation of new ventures, risk-taking, or managerial actions listed in criteria I–VI."
middle60,23193,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","['Monitoring Processes, Materials, or Surroundings']",Monitor market conditions or trends.,0.6018139856415842,Not Intrapreneurial,High,,,Monitor markets or positions.,"The task describes routine monitoring of market conditions/positions (maintenance/oversight) without signals of discovering opportunities, generating/advocating plans, implementing new initiatives, taking risks, or performing managerial actions to create new business — fits the 'routine execution/maintenance' definition."
middle60,23195,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",['Documenting/Recording Information'],Maintain records of sales or other business transactions.,0.6018139856415842,Not Intrapreneurial,High,,,Keep accurate records of transactions.,"This is routine record-keeping and administrative maintenance without signals of opportunity discovery, planning/advocacy, implementation of new business activities, innovation, risk-taking, or eco-innovation (does not match criteria I–VI). Metadata indicates sales/transaction record maintenance, reinforcing administrative nature."
middle60,23197,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","['Documenting/Recording Information', 'Performing Administrative Activities']",Prepare sales or other contracts. | Process sales or other transactions.,0.6018139856415842,Not Intrapreneurial,High,,,Complete sales order tickets and submit for processing of client-requested transactions.,"This task describes routine transactional and administrative processing of client-requested transactions (documenting/submitting orders) with no signals of idea generation, planning/advocacy for new initiatives, implementation of new business activities, risk-taking, managerial action, or eco-innovation (no match to criteria I–VI). Metadata indicates sales/administrative duties, reinforcing a non-intrapreneurial classification."
middle60,23205,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",['Processing Information'],Review accuracy of sales or other transactions.,0.6018139856415842,Not Intrapreneurial,High,,,Review all securities transactions to ensure accuracy of information and conformance to governing agency regulations.,"The task is a routine compliance and accuracy-checking activity focused on transaction review and regulatory conformance, which aligns with maintenance/administrative duties rather than opportunity discovery, planning, implementation of new business, innovation, or managerial entrepreneurship (no signals of idea generation, championing, launching, or eco-innovation). Metadata indicates a sales/transactions role emphasizing processing and review, reinforcing a non-intrapreneurial classification."
middle60,23208,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']",Analyze market conditions or trends. | Monitor market conditions or trends.,0.6018139856415842,Intrapreneurial,Medium,I,Scan the environment for opportunities and threats | Analyze data/information to recognize opportunities | Anticipate problems and opportunities,"Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.","The task involves environmental scanning and analysis of market-driving factors (trade policy, weather, politics, supply/demand), which aligns with Opportunity Discovery and Idea Generation—identifying opportunities and threats and acquiring information to inform decisions (Criteria I). In the financial sales/market analysis context this supports recognizing opportunities worth pursuing and anticipating problems."
middle60,23209,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","['Communicating with Supervisors, Peers, or Subordinates']",Share sales-related or market information with colleagues.,0.6018139856415842,Not Intrapreneurial,High,,"Share market information with colleagues (routine communication) | No indication of idea generation, planning, implementation, or advocacy","Inform other traders, managers, or customers of market conditions, including volume, price, competition, or dynamics.","The task describes routine information sharing about market conditions (volume, price, competition) without generating new ideas, planning or championing initiatives, implementing changes, taking innovation risks, or performing managerial actions to create new business—fits routine/administrative communication rather than intrapreneurial behavior."
middle60,23213,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",['Making Decisions and Solving Problems'],Calculate costs of goods or services.,0.6018139856415842,Not Intrapreneurial,High,,,Calculate costs for billings or commissions.,"This is a routine, administrative calculation task (billing/commission computation) with no signals of idea generation, planning/advocacy, implementation of new business activities, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation."
middle60,23214,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",['Documenting/Recording Information'],"Prepare financial documents, reports, or budgets.",0.6018139856415842,Not Intrapreneurial,High,,,Prepare financial reports to monitor client or corporate finances.,"This task describes routine preparation and monitoring of financial reports (administrative/documentation). It lacks signals of opportunity discovery, planning/advocacy for new initiatives, implementation of new business activities, innovation/risk-taking, managerial entrepreneurial actions, or eco-innovation."
